security_id,field,period_end,available_at,value,source,accession,unit
AAA,revenue,2022-12-31,2023-02-15T21:00:00+00:00,100,SEC,0001,USD
AAA,revenue,2023-12-31,2024-02-15T21:00:00+00:00,110,SEC,0002,USD
AAA,revenue,2024-12-31,2025-02-15T21:00:00+00:00,125,SEC,0003,USD
AAA,operating_income,2023-12-31,2024-02-15T21:00:00+00:00,12,SEC,0002,USD
AAA,operating_income,2024-12-31,2025-02-15T21:00:00+00:00,16,SEC,0003,USD
AAA,operating_cash_flow,2023-12-31,2024-02-15T21:00:00+00:00,15,SEC,0002,USD
AAA,operating_cash_flow,2024-12-31,2025-02-15T21:00:00+00:00,20,SEC,0003,USD
AAA,capital_expenditures,2023-12-31,2024-02-15T21:00:00+00:00,5,SEC,0002,USD
AAA,capital_expenditures,2024-12-31,2025-02-15T21:00:00+00:00,6,SEC,0003,USD
AAA,enterprise_value,2024-12-31,2025-02-15T21:00:00+00:00,200,MARKET,EV-0003,USD

